"denuncia_fecha","denuncia_previa","derivacion_seguimiento","llamante_anonimo","llamante_genero","llamante_rango_etario","llamante_provincia","llamante_es_victima","victima_genero","victima_rango_etario","victima_discapacidad","victima_embarazada","victima_provincia_origen","victima_cantidad","victima_nacionalidad","denunciado_genero","denunciado_provincia","connivencia_fuerzas_seguridad","connivencia_poder_politico","hecho_provincia","denuncia_tipo_explotacion","denuncia_via_ingreso","acercamiento_tipo","derivacion_organismo","derivacion_fecha","llamante_provincia_indec_id","victima_provincia_origen_indec_id","denunciado_provincia_indec_id","hecho_provincia_indec_id"
"2018-02-01","Sí","No","No","No sabe/no contesta","0 a 13","Sin dato/no contesta","Sin datos","Femenino","18 a 25","No","No","Tucumán","0","No refiere","No sabe/no contesta","Buenos Aires","No","No","Buenos Aires","Explotación sexual","Línea 145","Campañas del programa","Protex","2018-02-01","","90","06","06"
"2018-02-01","Sí","No","No","No sabe/no contesta","0 a 13","Sin dato/no contesta","Sin datos","Femenino","26 a 40","Sí","No","Sin dato/no contesta","1","Argentina","Femenino","Buenos Aires","No","No","Buenos Aires","Explotación sexual","Línea 145","Otros","Protex","2018-02-01","","","06","06"
"2018-02-01","No","No","No","No sabe/no contesta","0 a 13","Sin dato/no contesta","Sí","Femenino","18 a 25","No","No","Sin dato/no contesta","8","Extranjera","No sabe/no contesta","Ciudad Autónoma de Buenos Aires","No","No","Ciudad Autónoma de Buenos Aires","Explotación sexual","Línea 145","Otros","Área legal para judicializar","2018-02-01","","","",""
"2018-02-01","No","No","No","No sabe/no contesta","0 a 13","Sin dato/no contesta","Sin datos","Femenino","16 a 17 (específico para trabajo adolescente)","No","No","Buenos Aires","1","No refiere","Masculino","Buenos Aires","No","No","Buenos Aires","Desaparición","Línea 145","Otros","Protex","2018-02-01","","06","06","06"
"2018-02-02","Sí","No","No","No sabe/no contesta","0 a 13","Sin dato/no contesta","Sin datos","Femenino","No refiere","No","No","Buenos Aires","1","No refiere","Femenino","Buenos Aires","No","No","Buenos Aires","Explotación sexual","Línea 145","Otros","Protex","2018-02-02","","06","06","06"
"2018-02-02","No","No","No","No sabe/no contesta","0 a 13","Chubut","Sí","Femenino","No refiere","No","No","Sin dato/no contesta","0","No refiere","Femenino","Buenos Aires","No","No","Buenos Aires","Oferta laboral engañosa","Línea 145","ONG - Organismos nacionales","Protex","2018-02-02","26","","06","06"
"2018-02-02","No","No","No","No sabe/no contesta","0 a 13","Sin dato/no contesta","Sin datos","Femenino","No refiere","No","No","Sin dato/no contesta","1","No refiere","Masculino","Buenos Aires","No","No","Misiones","Explotación sexual","Línea 145","Otros","Protex","2018-02-02","","","06","54"
"2018-02-02","Sí","Sí","No","No sabe/no contesta","14 a 16","Sin dato/no contesta","Sin datos","Femenino","26 a 40","Sí","No","Buenos Aires","1","No refiere","Masculino","Buenos Aires","No","No","Buenos Aires","Posible trata de personas (hecho indefinido)","Línea 145","Otros","Protex","2018-02-02","","06","06","06"
"2018-02-03","No","No","Sí","No sabe/no contesta","14 a 16","Chaco","Sin datos","Masculino","18 a 25","No","No","Buenos Aires","1","Argentina","Femenino","Otro país donde ocurre el hecho","No","No","Otro país donde ocurre el hecho","Posible trata de personas (hecho indefinido)","Línea 145","Boca en boca","Protex","2018-02-03","22","06","",""
"2018-02-03","No","No","Sí","No sabe/no contesta","0 a 13","Chubut","Sin datos","Femenino","26 a 40","No","No","Buenos Aires","2","Argentina","Masculino","Buenos Aires","No","No","Buenos Aires","Explotación sexual","Línea 145","Otros","Protex","2018-02-03","26","06","06","06"
"2018-02-03","No","No","No","No sabe/no contesta","0 a 13","Chubut","Sí","Femenino","16 a 17 (específico para trabajo adolescente)","No","No","Tucumán","1","Argentina","Masculino","Tucumán","No","No","Tucumán","Explotación sexual","Línea 145","ONG - Organismos nacionales","Protex","2018-02-03","26","90","90","90"
"2018-02-03","Sí","No","No","No sabe/no contesta","0 a 13","Chubut","Sí","Femenino","16 a 17 (específico para trabajo adolescente)","No","No","Tucumán","1","Argentina","Masculino","Tucumán","No","No","Tucumán","Explotación sexual","Línea 145","ONG - Organismos nacionales","Protex","2018-02-03","26","90","90","90"
"2018-02-03","No","No","No","No sabe/no contesta","14 a 16","Sin dato/no contesta","Sin datos","Femenino","41 a 60","Sí","No","Sin dato/no contesta","1","Argentina","Masculino","Buenos Aires","No","No","Buenos Aires","Explotación sexual","Línea 145","Otros","Protex","2018-02-03","","","06","06"
"2018-02-04","No","Sí","No","No sabe/no contesta","14 a 16","Sin dato/no contesta","Sin datos","Femenino","26 a 40","No","No","Santa Fe","3","Argentina","No sabe/no contesta","Santa Fe","No","No","Santa Fe","Explotación sexual","Línea 145","Otros","Protex","2018-02-04","","82","82","82"
"2018-02-04","No","No","No","No sabe/no contesta","14 a 16","Córdoba","Sin datos","Femenino","18 a 25","No","No","Buenos Aires","1","Argentina","No sabe/no contesta","Sin dato/no contesta","No","No","Otro país donde ocurre el hecho","Desaparición","Línea 145","Otros","Protex","2018-02-04","14","06","",""
"2018-02-04","Sí","No","No","No sabe/no contesta","14 a 16","Córdoba","Sin datos","Femenino","18 a 25","No","No","Buenos Aires","1","Argentina","No sabe/no contesta","Sin dato/no contesta","No","No","Otro país donde ocurre el hecho","Desaparición","Línea 145","Otros","Protex","2018-02-04","14","06","",""
"2018-02-04","Sí","No","Sí","No sabe/no contesta","0 a 13","Sin dato/no contesta","Sin datos","Femenino","14 a 16","No","No","Mendoza","50","Argentina","Femenino","Mendoza","Sí","Sí","Mendoza","Explotación sexual niñas, niños y adolescentes","Línea 145","Otros","Fuerzas de seguridad federal","2018-02-05","","50","50","50"
"2018-02-05","No","No","No","No sabe/no contesta","0 a 13","Sin dato/no contesta","Sí","Masculino","14 a 16","No","No","Ciudad Autónoma de Buenos Aires","1","Extranjera","Femenino","Sin dato/no contesta","No","No","Sin dato/no contesta","Explotación laboral niñas, niños y adolescentes","Teléfono institucional (no salientes)","ONG - Organismos nacionales","Protex","2018-02-05","","","",""
